global_epoch,stage_n,epoch_in_stage,loss_epoch
0,1,0,0.3389044856012333
1,1,1,0.3323154874087777
2,1,2,0.2904222344805021
3,1,3,0.20869737313478254
4,1,4,0.13302666198433144
5,1,5,0.11861848368425854
6,1,6,0.11173079303262057
7,1,7,0.11143205731059425
8,1,8,0.09583180185290985
9,1,9,0.10372873492815415
10,1,10,0.10497485681298713
11,1,11,0.10054325241799233
12,1,12,0.09708706637684372
13,1,13,0.09276880946526944
14,1,14,0.12111947925950517
15,1,15,0.09118808405582968
16,1,16,0.09707569918464287
17,1,17,0.09499066959688207
18,1,18,0.09224803245342628
19,1,19,0.08705730439214676
20,1,20,0.0928717801325547
21,1,21,0.08675998892340431
22,1,22,0.08377085827487463
23,1,23,0.09417737438343465
24,1,24,0.08156689555744379
25,1,25,0.09999120713928278
26,1,26,0.08298753435701656
27,1,27,0.08176151304178347
28,1,28,0.08518964552376929
29,1,29,0.08093154605876407
30,1,30,0.07890130130681428
31,1,31,0.09459082200010016
32,1,32,0.08504482454736717
33,1,33,0.08816961971479031
34,1,34,0.08486351078954613
35,1,35,0.08318377424348
36,1,36,0.08371999191149371
37,1,37,0.07965420201435336
38,1,38,0.08345481629157803
39,1,39,0.08525244582506275
40,1,40,0.08825048666858493
41,1,41,0.08001370448710077
42,1,42,0.08183877115106952
43,1,43,0.08235457451519324
44,1,44,0.07669191966260769
45,1,45,0.07804639542746372
46,1,46,0.0843218642166903
47,1,47,0.08183996059460696
48,1,48,0.07584788876511084
49,1,49,0.08116692702969885
50,1,50,0.08122910693782615
51,1,51,0.08203450018481817
52,1,52,0.08329649716415588
53,1,53,0.08174658659027045
54,1,54,0.07763497474616088
55,1,55,0.07723670944824335
56,1,56,0.07683719083161122
57,1,57,0.07874786323554872
58,1,58,0.08234877093582327
59,1,59,0.07940361107557692
60,1,60,0.08189081691443789
61,1,61,0.07780278352129244
62,1,62,0.07711173149618844
63,1,63,0.07920059914113153
64,1,64,0.08054781695773272
65,1,65,0.08725006358145038
66,1,66,0.07431118583963325
67,1,67,0.07492622135532656
68,1,68,0.07587145146317198
69,1,69,0.07337013631831724
70,1,70,0.07905370659250366
71,1,71,0.07700124112125195
72,1,72,0.07300788442444173
73,1,73,0.07730488793231416
74,1,74,0.075322928253172
75,1,75,0.07621971459047927
76,1,76,0.07639309768046587
77,1,77,0.07337368930893717
78,1,78,0.07317130177625586
79,1,79,0.07988879472304689
80,1,80,0.07182235124491854
81,1,81,0.07451209814144022
82,1,82,0.07537366419819591
83,1,83,0.0714576767500148
84,1,84,0.0734704924586822
85,1,85,0.07539975198551474
86,1,86,0.0699727364485625
87,1,87,0.07229308725391093
88,1,88,0.07170463974307495
89,1,89,0.07315247479300524
90,1,90,0.078603132999433
91,1,91,0.0727274641412805
92,1,92,0.07234663966573862
93,1,93,0.06826719784635316
94,1,94,0.0790844264856787
95,1,95,0.07360966578380612
96,1,96,0.07007369363100224
97,1,97,0.07115626825134314
98,1,98,0.07681521304039052
99,1,99,0.07203691626568798
100,1,100,0.07255854121945049
101,1,101,0.07278191432487802
102,1,102,0.06941474822338023
103,1,103,0.07274625806985568
104,1,104,0.07055006099653838
105,1,105,0.07312713671035453
106,1,106,0.0685393510771064
107,1,107,0.06574978207981985
108,1,108,0.06754281450457711
109,1,109,0.06778681186142421
110,1,110,0.07008273775818452
111,1,111,0.07379274065169739
112,1,112,0.06972209438299615
113,1,113,0.07044611485275709
114,1,114,0.0735395503786549
115,1,115,0.06484389354045561
116,1,116,0.06808075340131836
117,1,117,0.0715956715075663
118,1,118,0.06571896679633937
119,1,119,0.06585243905192328
120,1,120,0.07003518884812365
121,1,121,0.06925562478500069
122,1,122,0.06633130336103932
123,1,123,0.06486893801138649
124,1,124,0.06570427574024507
125,1,125,0.06941995568558923
126,1,126,0.0664337314756267
127,1,127,0.06916017085313797
128,1,128,0.06741918377929323
129,1,129,0.0647883406713845
130,1,130,0.0645045283156378
131,1,131,0.06329127141657409
132,1,132,0.06321152589407575
133,1,133,0.0607018067134959
134,1,134,0.06737181219978083
135,1,135,0.06398022383291391
136,1,136,0.06465298341072412
137,1,137,0.061037640817176
138,1,138,0.06041328507490107
139,1,139,0.06099117032636059
140,1,140,0.06304675720321029
141,1,141,0.06851849971053525
142,1,142,0.07292709352441307
143,1,143,0.06286738476092069
144,1,144,0.06686217745618706
145,1,145,0.07489624902791547
146,1,146,0.05820004693305236
147,1,147,0.05903250126993953
148,1,148,0.06376462349066969
149,1,149,0.06920808989480065
150,1,150,0.06506707971084325
151,1,151,0.058244017457127484
152,1,152,0.056859652099319646
153,1,153,0.0583489527484744
154,1,154,0.06238764781801365
155,1,155,0.0707148925648653
156,1,156,0.05742896286801624
157,1,157,0.0623589750366591
158,1,158,0.0689235871263918
159,1,159,0.05794566600707185
160,1,160,0.06112805244856645
161,1,161,0.060973243924763665
162,1,162,0.06318332537603055
163,1,163,0.06264180193306856
164,1,164,0.0550721559629892
165,1,165,0.05679090058083602
166,1,166,0.057189556785488094
167,1,167,0.05672548031702718
168,1,168,0.0590274667652011
169,1,169,0.055113148701821046
170,1,170,0.05020165575251667
171,1,171,0.06221106646853514
172,1,172,0.06944196760196064
173,1,173,0.05696791914306232
174,1,174,0.0707030000648956
175,1,175,0.054088520236291515
176,1,176,0.05291587266106035
177,1,177,0.048901501859290875
178,1,178,0.05471270818543417
179,1,179,0.054886294308744255
180,1,180,0.055791509476875945
181,1,181,0.05245001323555698
182,1,182,0.05019600050081863
183,1,183,0.0596076379670194
184,1,184,0.05942982982742251
185,1,185,0.05902592675215601
186,1,186,0.05109841898593004
187,1,187,0.05701251098503235
188,1,188,0.052203423180344544
189,1,189,0.05484725363658072
190,1,190,0.06645227926674124
191,1,191,0.06193853223635415
192,1,192,0.05237562336174051
193,1,193,0.0493095578710836
194,1,194,0.051297280796461564
195,1,195,0.046984316088810374
196,1,196,0.05942049936948024
197,1,197,0.05259647737193518
198,1,198,0.05051719749371841
199,1,199,0.05082339588341256
200,1,200,0.05518247463260195
201,1,201,0.04805381535516062
202,1,202,0.05072565337468404
203,1,203,0.047623991265027144
204,1,204,0.04539287778629841
205,1,205,0.04944964844116839
206,1,206,0.05451919093138713
207,1,207,0.05276814044736966
208,1,208,0.05577708690657346
209,1,209,0.04947961895982189
210,1,210,0.049222237166986815
211,1,211,0.04643327229246097
212,1,212,0.04584570451606851
213,1,213,0.044581567321074544
214,1,214,0.04562749362048635
