global_batch,stage_n,epoch_in_stage,batch_idx,loss_batch
0,1,0,0,0.3711760342121124
1,1,0,1,0.3168930411338806
2,1,0,2,0.5165672302246094
3,1,0,3,0.6251937747001648
4,1,0,4,0.427223265171051
5,1,0,5,0.17481772601604462
6,1,0,6,0.4642588496208191
7,1,0,7,0.18134641647338867
8,1,0,8,0.5754870176315308
9,1,0,9,0.6807410717010498
10,1,0,10,0.6766913533210754
11,1,0,11,0.6525248885154724
12,1,0,12,0.1310085952281952
13,1,0,13,0.2828219532966614
14,1,0,14,0.32214710116386414
15,1,0,15,0.2605200409889221
16,1,0,16,0.3654610514640808
17,1,0,17,0.6992809176445007
18,1,0,18,0.5996078848838806
19,1,0,19,0.5078493356704712
20,1,0,20,0.18863850831985474
21,1,0,21,0.33163461089134216
22,1,0,22,0.2953428626060486
23,1,0,23,0.145663321018219
24,1,0,24,0.13845697045326233
25,1,0,25,0.301768958568573
26,1,0,26,0.25526031851768494
27,1,0,27,0.11027482151985168
28,1,0,28,0.16261160373687744
29,1,0,29,0.06730751693248749
30,1,0,30,0.12633828818798065
31,1,0,31,0.26376253366470337
32,1,0,32,0.3551555275917053
33,1,0,33,0.2240636795759201
34,1,0,34,0.433855801820755
35,1,0,35,0.3366463780403137
36,1,0,36,0.365337073802948
37,1,0,37,0.3991560637950897
38,1,0,38,0.17663982510566711
39,1,0,39,0.2513338327407837
40,1,0,40,0.23102334141731262
41,1,0,41,0.1831429898738861
42,1,0,42,0.2570398449897766
43,1,0,43,0.4805750250816345
44,1,0,44,0.46639013290405273
45,1,0,45,0.17235341668128967
46,1,0,46,0.3481379747390747
47,1,0,47,0.21432697772979736
48,1,0,48,0.16396336257457733
49,1,0,49,0.17029276490211487
50,1,0,50,0.1034221276640892
51,1,0,51,1.93357515335083
52,1,0,52,0.7056237459182739
53,1,0,53,0.4160487949848175
54,1,0,54,0.1611705720424652
55,1,0,55,0.4582262337207794
56,1,0,56,0.2791503667831421
57,1,0,57,0.3074890673160553
58,1,0,58,0.42691442370414734
59,1,0,59,0.23620252311229706
60,1,0,60,0.3083113133907318
61,1,0,61,0.28518399596214294
62,1,0,62,0.1755140721797943
63,1,0,63,0.18986466526985168
64,1,0,64,0.18497806787490845
65,1,0,65,0.17298263311386108
66,1,0,66,0.21789409220218658
67,1,0,67,0.583213210105896
68,1,0,68,0.19088050723075867
69,1,0,69,0.3203214704990387
70,1,0,70,0.15240956842899323
71,1,0,71,0.3600945472717285
72,1,0,72,0.3940030336380005
73,1,0,73,1.0453591346740723
74,1,0,74,0.15934982895851135
75,1,0,75,0.2322712242603302
76,1,0,76,0.13197006285190582
77,1,0,77,0.9175375699996948
78,1,0,78,0.25146859884262085
79,1,0,79,0.07196874916553497
80,1,0,80,0.10168099403381348
81,1,0,81,0.3349587023258209
82,1,0,82,0.2287294864654541
83,1,0,83,0.24917563796043396
84,1,0,84,0.1776980459690094
85,1,0,85,0.11216214299201965
86,1,0,86,0.06987237930297852
87,1,0,87,0.124673992395401
88,1,0,88,0.05192998796701431
89,1,0,89,0.18202684819698334
90,1,0,90,0.17701545357704163
91,1,0,91,0.7242018580436707
92,1,0,92,0.07504215836524963
93,1,0,93,0.09189391136169434
94,1,0,94,0.19611777365207672
95,1,0,95,1.0350574254989624
96,1,0,96,0.31144005060195923
97,1,0,97,0.4045977294445038
98,1,0,98,0.08775936812162399
99,1,0,99,0.07761850208044052
100,1,0,100,0.1091451644897461
101,1,0,101,0.19765782356262207
102,1,0,102,0.15323399007320404
103,1,0,103,0.34821414947509766
104,1,0,104,0.30209028720855713
105,1,0,105,0.35413116216659546
106,1,0,106,0.4122423827648163
107,1,0,107,0.23983809351921082
108,1,0,108,0.35814571380615234
109,1,0,109,0.2653101980686188
110,1,0,110,0.3466244339942932
111,1,0,111,0.28280726075172424
112,1,0,112,0.21703270077705383
113,1,0,113,0.3876540958881378
114,1,0,114,0.12306925654411316
115,1,0,115,0.25942716002464294
116,1,0,116,0.07346677780151367
117,1,0,117,0.2441437989473343
118,1,0,118,3.3133544921875
119,1,0,119,0.08082418888807297
120,1,0,120,0.3325701355934143
121,1,0,121,0.4779062867164612
122,1,0,122,2.097940444946289
123,1,0,123,0.3818960189819336
124,1,0,124,0.279276967048645
125,1,0,125,0.31386667490005493
126,1,0,126,0.21523040533065796
127,1,1,0,0.19996488094329834
128,1,1,1,0.22280104458332062
129,1,1,2,0.16122472286224365
130,1,1,3,0.30391740798950195
131,1,1,4,0.1702423393726349
132,1,1,5,0.39990514516830444
133,1,1,6,0.09744302928447723
134,1,1,7,0.38833141326904297
135,1,1,8,0.15036973357200623
136,1,1,9,0.511582612991333
137,1,1,10,0.33171766996383667
138,1,1,11,0.23253726959228516
139,1,1,12,0.2891780734062195
140,1,1,13,0.22303307056427002
141,1,1,14,0.3349415957927704
142,1,1,15,0.2758030295372009
143,1,1,16,0.20231619477272034
144,1,1,17,0.2510003447532654
145,1,1,18,0.14870208501815796
146,1,1,19,0.1936955749988556
147,1,1,20,1.5554208755493164
148,1,1,21,0.20677146315574646
149,1,1,22,0.17136728763580322
150,1,1,23,0.5182797312736511
151,1,1,24,0.2873460650444031
152,1,1,25,0.18193408846855164
153,1,1,26,0.12880219519138336
154,1,1,27,0.14073126018047333
155,1,1,28,0.360476553440094
156,1,1,29,0.26370397210121155
157,1,1,30,0.15577158331871033
158,1,1,31,0.37419188022613525
159,1,1,32,0.2257418930530548
160,1,1,33,0.09280949831008911
161,1,1,34,0.13976043462753296
162,1,1,35,0.19512104988098145
163,1,1,36,0.31640052795410156
