global_epoch,stage_n,epoch_in_stage,loss_epoch
0,4,0,0.9653303679078817
1,4,1,0.9280041069723666
2,4,2,0.9229197832755744
3,4,3,0.9210850275121629
4,4,4,0.9194407826289535
5,4,5,0.919629548676312
6,4,6,0.918484281282872
7,4,7,0.9174406686797738
8,4,8,0.9176869043149054
9,4,9,0.9172567147761583
10,4,10,0.9159407066181302
11,4,11,0.9161789803765714
12,4,12,0.9152538971975446
13,4,13,0.9148375713266432
14,4,14,0.9148517991416156
15,4,15,0.9138255403377116
16,4,16,0.9137656521052122
17,4,17,0.9137713285163045
18,4,18,0.9127228758297861
19,4,19,0.9121893458068371
20,4,20,0.9111288795247674
21,4,21,0.9107295088469982
22,4,22,0.9101389078423381
23,4,23,0.9092773078009486
24,4,24,0.9084832859225571
25,4,25,0.9076309790834785
26,4,26,0.9067311328835785
27,4,27,0.9048807574436069
28,4,28,0.9044327158480883
29,4,29,0.9028110066428781
30,4,30,0.9003467941656709
31,4,31,0.898523738142103
32,4,32,0.8961688745766878
33,4,33,0.8933403259143233
34,4,34,0.8905380899086595
35,4,35,0.8874308848753572
36,4,36,0.8848526193760335
37,4,37,0.880108252633363
38,4,38,0.876850857399404
39,4,39,0.8734241737984121
40,4,40,0.8685622727498412
41,4,41,0.8649690733291209
42,4,42,0.860395279712975
43,4,43,0.8562423465773463
44,4,44,0.8519982886500657
45,4,45,0.8473787032999098
46,4,46,0.8424586546607316
47,4,47,0.8389543131925166
48,4,48,0.8346216161735356
49,4,49,0.8285485119558871
50,4,50,0.8248455771245062
51,4,51,0.822774576023221
52,4,52,0.8170463000424206
53,4,53,0.8126850216649473
54,4,54,0.8084754692390561
55,4,55,0.8056598445400596
56,4,56,0.7998891342431307
57,4,57,0.7959325644187629
58,4,58,0.7935403101146221
59,4,59,0.7894520424306393
60,4,60,0.7853336096741259
61,4,61,0.7817007056437433
62,4,62,0.779415556229651
63,4,63,0.7752528297714889
64,4,64,0.7722641625441611
65,4,65,0.7672127871774137
66,4,66,0.7659075744450092
67,4,67,0.7621671026572585
68,4,68,0.7581674954853952
69,4,69,0.7565258922986686
70,4,70,0.7533644223585725
71,4,71,0.7466139099560678
72,4,72,0.7467242293059826
73,4,73,0.741553520783782
74,4,74,0.7410696656443179
75,4,75,0.7364199236035347
76,4,76,0.7346812481991947
77,4,77,0.7302182475104928
78,4,78,0.7252807565964758
79,4,79,0.7242309032008052
80,4,80,0.7240806985646486
81,4,81,0.7181966560892761
82,4,82,0.7155047482810915
83,4,83,0.7109232824295759
84,4,84,0.7078365013003349
85,4,85,0.705711199901998
86,4,86,0.7017496456392109
87,4,87,0.7001767051406205
88,4,88,0.6962772840633988
89,4,89,0.6937310798093677
90,4,90,0.6917568370699883
91,4,91,0.6885019680485129
92,4,92,0.6834459560923278
93,4,93,0.6830394160933793
94,4,94,0.6783945737406611
95,4,95,0.6738144806586206
96,4,96,0.6725981291383505
97,4,97,0.6699499054811895
98,4,98,0.6648082658648491
99,4,99,0.6630340781994164
100,4,100,0.6598953641951084
101,4,101,0.6567932972684503
102,4,102,0.6538316980004311
103,4,103,0.6523193377070129
104,4,104,0.6498231636360288
105,4,105,0.645324403885752
106,4,106,0.6444583893753588
107,4,107,0.6389517518691719
108,4,108,0.6379246218129992
